# Word Drop – Word List
# Format: LEVEL | word
# L1 = Easy (3-5 letters)   → used in Easy difficulty
# L2 = Medium (4-7 letters) → used in Medium difficulty
# L3 = Hard (5-10 letters)  → used in Hard difficulty
#
# Edit freely! Add, remove, or move words between levels.
# Lines starting with # are ignored.

# ── L1 – Easy words (3-5 letters) ──────────────────────────────────
L1 | dog
L2 | silly
L2 | skill
L2 | sleep
L2 | slide
L2 | smile
L2 | smoke
L2 | snake
L2 | solve
L2 | south
L2 | spare
L2 | spark
L2 | spell
L2 | spend
L2 | split
L2 | spray
L2 | squad
L2 | stage
L2 | stand
L2 | stark
L2 | state
L2 | steam
L2 | steel
L2 | stone
L2 | storm
L2 | story
L2 | stuck
L2 | style
L2 | sugar
L2 | super
L2 | surge
L2 | swear
L2 | sweet
L2 | swift
L2 | sword
L2 | table
L2 | teach
L2 | theme
L2 | thick
L2 | third
L2 | those
L2 | throw
L2 | tiger
L2 | token
L2 | touch
L2 | tough
L2 | tower
L2 | track
L2 | trade
L2 | trail
L2 | train
L2 | treat
L2 | trend
L2 | trial
L2 | tribe
L2 | trick
L2 | troop
L2 | trust
L2 | truth
L2 | twice
L2 | twist
L2 | under
L2 | union
L2 | until
L2 | urban
L2 | usual
L2 | value
L2 | video
L2 | visit
L2 | vital
L2 | voice
L2 | voter
L2 | watch
L2 | water
L2 | wheel
L2 | where
L2 | which
L2 | while
L2 | white
L2 | whole
L2 | whose
L2 | witch
L2 | woman
L2 | women
L2 | worth
L2 | would
L2 | yacht
L2 | young
L2 | youth

# ── L3 – Hard words (5-10 letters) ─────────────────────────────────
L3 | keyboard
L3 | practice
L3 | mountain
L3 | elephant
L3 | beautiful
L3 | computer
L3 | together
L3 | question
L3 | important
L3 | different
L3 | remember
L3 | language
L3 | business
L3 | children
L3 | thousand
L3 | daughter
L3 | hospital
L3 | birthday
L3 | breakfast
L3 | chocolate
L3 | education
L3 | national
L3 | history
L3 | science
L3 | morning
L3 | evening
L3 | student
L3 | teacher
L3 | window
L3 | garden
L3 | system
L3 | special
L3 | middle
L3 | around
L3 | family
L3 | school
L3 | second
L3 | minute
L3 | notice
L3 | always
L3 | during
L3 | strong
L3 | change
L3 | number
L3 | person
L3 | follow
L3 | happen
L3 | result
L3 | picture
L3 | society
L3 | problem
L3 | process
L3 | product
L3 | project
L3 | protect
L3 | provide
L3 | publish
L3 | purpose
L3 | quality
L3 | quarter
L3 | quickly
L3 | reading
L3 | realize
L3 | receive
L3 | record
L3 | replace
L3 | require
L3 | respect
L3 | respond
L3 | restore
L3 | revenue
L3 | section
L3 | service
L3 | several
L3 | similar
L3 | station
L3 | subject
L3 | success
L3 | support
L3 | surface
L3 | survive
L3 | achieve
L3 | address
L3 | advance
L3 | already
L3 | another
L3 | balance
L3 | between
L3 | billion
L3 | brother
L3 | captain
L3 | capture
L3 | century
L3 | certain
L3 | chapter
L3 | climate
L3 | college
L3 | comfort
L3 | command
L3 | comment
L3 | connect
L3 | contact
L3 | contain
L3 | control
L3 | convert
L3 | council
L3 | country
L3 | courage
L3 | culture
L3 | current
L3 | defense
L3 | deliver
L3 | develop
L3 | digital
L3 | discuss
L3 | disease
L3 | display
L3 | distant
L3 | dolphin
L3 | drawing
L3 | explore
L3 | extreme
L3 | factory
L3 | failure
L3 | fantasy
L3 | fashion
L3 | feature
L3 | feeling
L3 | fiction
L3 | forward
L3 | freedom
L3 | gallery
L3 | general
L3 | grandma
L3 | gravity
L3 | growing
L3 | harvest
L3 | healthy
L3 | highway
L3 | history
L3 | holiday
L3 | horizon
L3 | hunter
L3 | include
L3 | initial
L3 | inspire
L3 | install
L3 | instead
L3 | involve
L3 | journal
L3 | journey
L3 | justice
L3 | kitchen
L3 | library
L3 | limited
L3 | massive
L3 | mention
L3 | message
L3 | mission
L3 | monitor
L3 | mystery
L3 | natural
L3 | network
L3 | nothing
L3 | nowhere
L3 | nuclear
L3 | observe
L3 | obvious
L3 | officer
L3 | olympic
L3 | opinion
L3 | outdoor
L3 | pattern
L3 | payment
L3 | perform
L3 | physics
L3 | planet
L3 | plastic
L3 | popular
L3 | portion
L3 | present
L3 | pretty
L3 | primary
L3 | private
